Epoch 19/20 — Train: 0.0036 | Val: 0.0034
Epoch 20/20 — Train: 0.0036 | Val: 0.0039
Testing size=(96, 96), lr=0.01, bs=16, epochs=10
Epoch 1/10 — Train: 0.2518 | Val: 0.2540
Epoch 2/10 — Train: 0.2519 | Val: 0.2540
Epoch 3/10 — Train: 0.2519 | Val: 0.2540
Epoch 4/10 — Train: 0.2519 | Val: 0.2540
 
Epoch 5/10 — Train: 0.2519 | Val: 0.2540
Epoch 6/10 — Train: 0.2519 | Val: 0.2540
Epoch 7/10 — Train: 0.2519 | Val: 0.2540
Epoch 8/10 — Train: 0.2519 | Val: 0.2540
Epoch 9/10 — Train: 0.2519 | Val: 0.2540
Epoch 10/10 — Train: 0.2519 | Val: 0.2540
Testing size=(96, 96), lr=0.01, bs=16, epochs=20
Epoch 1/20 — Train: 0.2517 | Val: 0.2540
 
Epoch 2/20 — Train: 0.2519 | Val: 0.2540
Epoch 3/20 — Train: 0.2519 | Val: 0.2540
Epoch 4/20 — Train: 0.2519 | Val: 0.2540
Epoch 5/20 — Train: 0.2519 | Val: 0.2540
Epoch 6/20 — Train: 0.2519 | Val: 0.2540
Epoch 7/20 — Train: 0.2519 | Val: 0.2540
Epoch 8/20 — Train: 0.2519 | Val: 0.2540
Epoch 9/20 — Train: 0.2519 | Val: 0.2540
Epoch 10/20 — Train: 0.2519 | Val: 0.2540
Epoch 11/20 — Train: 0.2519 | Val: 0.2540
Epoch 12/20 — Train: 0.2519 | Val: 0.2540
Epoch 13/20 — Train: 0.2519 | Val: 0.2540
Epoch 14/20 — Train: 0.2519 | Val: 0.2540
Epoch 15/20 — Train: 0.2519 | Val: 0.2540
Epoch 16/20 — Train: 0.2519 | Val: 0.2540
Epoch 17/20 — Train: 0.2519 | Val: 0.2540
Epoch 18/20 — Train: 0.2519 | Val: 0.2540
Epoch 19/20 — Train: 0.2519 | Val: 0.2540
Epoch 20/20 — Train: 0.2519 | Val: 0.2540
Testing size=(96, 96), lr=0.01, bs=32, epochs=10
Epoch 1/10 — Train: 0.2529 | Val: 0.2540
Epoch 2/10 — Train: 0.2519 | Val: 0.2540
Epoch 3/10 — Train: 0.2519 | Val: 0.2540
Epoch 4/10 — Train: 0.2519 | Val: 0.2540
Epoch 5/10 — Train: 0.2519 | Val: 0.2540
Epoch 6/10 — Train: 0.2519 | Val: 0.2540
Epoch 7/10 — Train: 0.2519 | Val: 0.2540
Epoch 8/10 — Train: 0.2519 | Val: 0.2540
Epoch 9/10 — Train: 0.2519 | Val: 0.2540
Epoch 10/10 — Train: 0.2519 | Val: 0.2540
Testing size=(96, 96), lr=0.01, bs=32, epochs=20
 
Epoch 1/20 — Train: 0.2516 | Val: 0.2540
